Sex,Marital status,Age,Education,Income,Occupation,Settlement size,Cluster,Perfil
Male,Single,26,Other/Unknown,114514,Skilled employee/Official,Mid-sized city,4,Jovens - Baixa Renda
Male,Single,26,Other/Unknown,99307,Skilled employee/Official,Mid-sized city,4,Jovens - Baixa Renda
Female,Non-single,42,University,219451,Management/Highly qualified,Big city,2,Adultos - Alta Renda
Female,Non-single,27,High school,114007,Skilled employee/Official,Small city,4,Jovens - Baixa Renda
Male,Single,38,High school,102846,Skilled employee/Official,Small city,1,Adultos - Renda Média
Male,Single,39,High school,81483,Unemployed/Unskilled,Small city,1,Adultos - Renda Média
Male,Non-single,20,High school,107779,Skilled employee/Official,Big city,4,Jovens - Baixa Renda
Male,Single,29,Other/Unknown,222360,Management/Highly qualified,Big city,2,Adultos - Alta Renda
Male,Single,40,High school,107125,Skilled employee/Official,Small city,1,Adultos - Renda Média
Male,Non-single,32,High school,80080,Unemployed/Unskilled,Small city,4,Jovens - Baixa Renda
Male,Non-single,28,High school,129600,Skilled employee/Official,Small city,0,Adultos - Alta Renda
Female,Non-single,27,High school,118613,Skilled employee/Official,Mid-sized city,4,Jovens - Baixa Renda
Male,Single,42,High school,146237,Skilled employee/Official,Mid-sized city,0,Adultos - Alta Renda
Male,Non-single,49,University,144461,Skilled employee/Official,Big city,3,Idosos - Alta Renda
Male,Single,38,High school,124487,Skilled employee/Official,Small city,1,Adultos - Renda Média
Female,Non-single,24,High school,97826,Skilled employee/Official,Small city,4,Jovens - Baixa Renda
Male,Single,27,Other/Unknown,64105,Unemployed/Unskilled,Small city,4,Jovens - Baixa Renda
Male,Single,36,High school,156374,Skilled employee/Official,Big city,0,Adultos - Alta Renda
Male,Single,34,High school,205383,Management/Highly qualified,Big city,2,Adultos - Alta Renda
Male,Non-single,28,High school,98964,Skilled employee/Official,Big city,4,Jovens - Baixa Renda
Male,Single,45,High school,221842,Management/Highly qualified,Big city,2,Adultos - Alta Renda
Male,Single,26,Other/Unknown,88027,Skilled employee/Official,Big city,4,Jovens - Baixa Renda
Male,Single,32,Other/Unknown,160513,Management/Highly qualified,Big city,0,Adultos - Alta Renda
Male,Single,26,Other/Unknown,124536,Skilled employee/Official,Big city,0,Adultos - Alta Renda
Male,Non-single,20,High school,93634,Skilled employee/Official,Small city,4,Jovens - Baixa Renda
Male,Single,54,High school,124725,Skilled employee/Official,Small city,3,Idosos - Alta Renda
Female,Non-single,37,High school,102456,Skilled employee/Official,Small city,1,Adultos - Renda Média
Male,Single,40,High school,74975,Unemployed/Unskilled,Small city,1,Adultos - Renda Média
Female,Non-single,23,High school,153861,Skilled employee/Official,Mid-sized city,0,Adultos - Alta Renda
Male,Single,43,High school,119351,Skilled employee/Official,Big city,1,Adultos - Renda Média
Male,Single,36,High school,95438,Skilled employee/Official,Big city,1,Adultos - Renda Média
Male,Single,44,High school,147967,Skilled employee/Official,Big city,0,Adultos - Alta Renda
Female,Non-single,24,High school,116863,Skilled employee/Official,Mid-sized city,4,Jovens - Baixa Renda
Male,Single,53,High school,170622,Skilled employee/Official,Mid-sized city,3,Idosos - Alta Renda
Female,Non-single,23,High school,132426,Skilled employee/Official,Mid-sized city,0,Adultos - Alta Renda
Female,Non-single,26,High school,77519,Unemployed/Unskilled,Small city,4,Jovens - Baixa Renda
Male,Single,30,Other/Unknown,169405,Skilled employee/Official,Big city,0,Adultos - Alta Renda
Female,Non-single,31,High school,120030,Skilled employee/Official,Small city,0,Adultos - Alta Renda
Male,Single,42,High school,77933,Unemployed/Unskilled,Small city,1,Adultos - Renda Média
Male,Non-single,31,High school,109892,Skilled employee/Official,Mid-sized city,4,Jovens - Baixa Renda
Male,Single,41,High school,69062,Unemployed/Unskilled,Small city,1,Adultos - Renda Média
Male,Single,32,Other/Unknown,116348,Skilled employee/Official,Small city,0,Adultos - Alta Renda
Female,Non-single,28,High school,137188,Skilled employee/Official,Mid-sized city,0,Adultos - Alta Renda
Male,Non-single,41,High school,110199,Skilled employee/Official,Small city,1,Adultos - Renda Média
Male,Non-single,26,High school,109890,Skilled employee/Official,Mid-sized city,4,Jovens - Baixa Renda
Male,Single,25,Other/Unknown,109751,Skilled employee/Official,Big city,4,Jovens - Baixa Renda
Male,Non-single,33,High school,129651,Skilled employee/Official,Mid-sized city,0,Adultos - Alta Renda
Female,Non-single,75,Graduate school,170113,Management/Highly qualified,Mid-sized city,3,Idosos - Alta Renda
Female,Non-single,37,High school,140285,Skilled employee/Official,Mid-sized city,0,Adultos - Alta Renda
Male,Single,42,High school,198029,Management/Highly qualified,Big city,2,Adultos - Alta Renda
Female,Non-single,45,University,120262,Unemployed/Unskilled,Small city,1,Adultos - Renda Média
Male,Non-single,23,High school,105137,Skilled employee/Official,Mid-sized city,4,Jovens - Baixa Renda
Male,Single,60,University,127371,Skilled employee/Official,Small city,3,Idosos - Alta Renda
Male,Single,31,Other/Unknown,145689,Skilled employee/Official,Small city,0,Adultos - Alta Renda
Male,Single,34,High school,102617,Unemployed/Unskilled,Mid-sized city,1,Adultos - Renda Média
Male,Single,61,University,90709,Unemployed/Unskilled,Small city,3,Idosos - Alta Renda
Male,Single,43,High school,107099,Skilled employee/Official,Mid-sized city,1,Adultos - Renda Média
Female,Non-single,37,High school,116021,Skilled employee/Official,Big city,1,Adultos - Renda Média
Male,Single,32,Other/Unknown,100426,Skilled employee/Official,Big city,4,Jovens - Baixa Renda
Female,Non-single,24,High school,62249,Unemployed/Unskilled,Small city,4,Jovens - Baixa Renda
Male,Single,35,High school,172957,Skilled employee/Official,Mid-sized city,0,Adultos - Alta Renda
Female,Non-single,23,High school,95003,Skilled employee/Official,Mid-sized city,4,Jovens - Baixa Renda
Male,Single,45,High school,109698,Unemployed/Unskilled,Small city,1,Adultos - Renda Média
Male,Non-single,34,High school,157376,Skilled employee/Official,Small city,0,Adultos - Alta Renda
Male,Single,27,Other/Unknown,123191,Skilled employee/Official,Big city,0,Adultos - Alta Renda
Female,Non-single,67,Graduate school,171052,Management/Highly qualified,Small city,3,Idosos - Alta Renda
Male,Single,22,Other/Unknown,99328,Skilled employee/Official,Small city,4,Jovens - Baixa Renda
Female,Non-single,28,High school,133799,Skilled employee/Official,Big city,0,Adultos - Alta Renda
Female,Non-single,29,High school,138256,Skilled employee/Official,Big city,0,Adultos - Alta Renda
Male,Single,27,Other/Unknown,115638,Skilled employee/Official,Small city,4,Jovens - Baixa Renda
Male,Single,31,Other/Unknown,82238,Unemployed/Unskilled,Small city,4,Jovens - Baixa Renda
Male,Single,49,High school,127543,Skilled employee/Official,Mid-sized city,1,Adultos - Renda Média
Male,Single,24,Other/Unknown,63987,Unemployed/Unskilled,Small city,4,Jovens - Baixa Renda
Female,Non-single,29,High school,114784,Skilled employee/Official,Small city,4,Jovens - Baixa Renda
Male,Single,37,High school,217450,Skilled employee/Official,Mid-sized city,2,Adultos - Alta Renda
Male,Single,37,High school,173751,Management/Highly qualified,Big city,0,Adultos - Alta Renda
Female,Non-single,23,High school,122850,Skilled employee/Official,Small city,4,Jovens - Baixa Renda
Male,Non-single,36,High school,104953,Skilled employee/Official,Small city,1,Adultos - Renda Média
Male,Single,34,High school,152371,Skilled employee/Official,Mid-sized city,0,Adultos - Alta Renda
Male,Single,41,High school,139905,Skilled employee/Official,Small city,0,Adultos - Alta Renda
Female,Non-single,31,High school,156700,Skilled employee/Official,Mid-sized city,0,Adultos - Alta Renda
Female,Non-single,23,High school,86488,Unemployed/Unskilled,Small city,4,Jovens - Baixa Renda
Male,Single,38,High school,147472,Skilled employee/Official,Small city,0,Adultos - Alta Renda
Female,Non-single,26,High school,169991,Management/Highly qualified,Small city,0,Adultos - Alta Renda
Female,Non-single,22,High school,62381,Unemployed/Unskilled,Small city,4,Jovens - Baixa Renda
Male,Single,27,Other/Unknown,70926,Unemployed/Unskilled,Small city,4,Jovens - Baixa Renda
Female,Non-single,24,High school,113004,Skilled employee/Official,Mid-sized city,4,Jovens - Baixa Renda
Female,Non-single,27,High school,125760,Skilled employee/Official,Small city,0,Adultos - Alta Renda
Female,Non-single,33,High school,111918,Skilled employee/Official,Big city,4,Jovens - Baixa Renda
Male,Non-single,27,High school,120674,Skilled employee/Official,Mid-sized city,4,Jovens - Baixa Renda
Male,Non-single,27,High school,63597,Unemployed/Unskilled,Small city,4,Jovens - Baixa Renda
Male,Single,30,Other/Unknown,103069,Skilled employee/Official,Mid-sized city,4,Jovens - Baixa Renda
Male,Single,49,High school,108079,Unemployed/Unskilled,Small city,1,Adultos - Renda Média
Female,Non-single,26,High school,101159,Skilled employee/Official,Mid-sized city,4,Jovens - Baixa Renda
Male,Single,33,High school,88211,Unemployed/Unskilled,Small city,4,Jovens - Baixa Renda
Female,Non-single,52,University,159052,Management/Highly qualified,Mid-sized city,3,Idosos - Alta Renda
Female,Non-single,20,High school,102623,Skilled employee/Official,Big city,4,Jovens - Baixa Renda
Male,Single,36,High school,115589,Skilled employee/Official,Small city,1,Adultos - Renda Média
Male,Single,21,Other/Unknown,59127,Unemployed/Unskilled,Small city,4,Jovens - Baixa Renda
Male,Non-single,47,University,82240,Unemployed/Unskilled,Small city,1,Adultos - Renda Média
Male,Single,60,University,129425,Skilled employee/Official,Mid-sized city,3,Idosos - Alta Renda
Female,Non-single,58,University,87058,Unemployed/Unskilled,Small city,1,Adultos - Renda Média
Female,Non-single,42,University,128462,Skilled employee/Official,Big city,1,Adultos - Renda Média
Female,Non-single,36,High school,121403,Unemployed/Unskilled,Small city,0,Adultos - Alta Renda
Female,Non-single,20,High school,88141,Unemployed/Unskilled,Small city,4,Jovens - Baixa Renda
Male,Single,40,High school,134946,Management/Highly qualified,Big city,0,Adultos - Alta Renda
Female,Non-single,32,High school,94058,Unemployed/Unskilled,Small city,4,Jovens - Baixa Renda
Female,Non-single,23,High school,99285,Skilled employee/Official,Mid-sized city,4,Jovens - Baixa Renda
Male,Single,36,High school,108432,Unemployed/Unskilled,Small city,1,Adultos - Renda Média
Male,Single,31,Other/Unknown,111369,Skilled employee/Official,Small city,4,Jovens - Baixa Renda
Male,Single,32,Other/Unknown,122612,Skilled employee/Official,Big city,0,Adultos - Alta Renda
Female,Non-single,45,University,134350,Skilled employee/Official,Small city,1,Adultos - Renda Média
Female,Non-single,30,High school,108838,Skilled employee/Official,Big city,4,Jovens - Baixa Renda
Female,Non-single,34,High school,90852,Unemployed/Unskilled,Small city,4,Jovens - Baixa Renda
Female,Non-single,28,High school,151580,Management/Highly qualified,Big city,0,Adultos - Alta Renda
Female,Non-single,23,High school,115681,Skilled employee/Official,Mid-sized city,4,Jovens - Baixa Renda
Male,Single,22,Other/Unknown,131699,Skilled employee/Official,Mid-sized city,0,Adultos - Alta Renda
Male,Single,74,University,192481,Management/Highly qualified,Mid-sized city,3,Idosos - Alta Renda
Female,Non-single,50,University,155122,Skilled employee/Official,Big city,3,Idosos - Alta Renda
Male,Single,33,High school,106015,Skilled employee/Official,Big city,4,Jovens - Baixa Renda
Male,Single,45,High school,108378,Skilled employee/Official,Small city,1,Adultos - Renda Média
Female,Non-single,22,High school,105257,Skilled employee/Official,Mid-sized city,4,Jovens - Baixa Renda
Female,Non-single,48,University,118788,Unemployed/Unskilled,Small city,1,Adultos - Renda Média
Female,Non-single,29,High school,162955,Skilled employee/Official,Big city,0,Adultos - Alta Renda
Female,Non-single,22,High school,119511,Skilled employee/Official,Big city,4,Jovens - Baixa Renda
Female,Non-single,22,High school,102000,Skilled employee/Official,Small city,4,Jovens - Baixa Renda
Male,Single,48,High school,254449,Management/Highly qualified,Mid-sized city,2,Adultos - Alta Renda
Male,Single,27,Other/Unknown,208446,Management/Highly qualified,Big city,2,Adultos - Alta Renda
Male,Single,37,High school,124805,Skilled employee/Official,Small city,0,Adultos - Alta Renda
Female,Non-single,21,High school,139379,Skilled employee/Official,Small city,0,Adultos - Alta Renda
Male,Non-single,49,University,78296,Unemployed/Unskilled,Small city,1,Adultos - Renda Média
Male,Single,27,Other/Unknown,125598,Skilled employee/Official,Mid-sized city,0,Adultos - Alta Renda
Male,Single,32,Other/Unknown,100215,Skilled employee/Official,Big city,4,Jovens - Baixa Renda
Male,Non-single,38,High school,130951,Skilled employee/Official,Big city,0,Adultos - Alta Renda
Female,Non-single,22,High school,102480,Skilled employee/Official,Big city,4,Jovens - Baixa Renda
Male,Single,65,University,136812,Skilled employee/Official,Mid-sized city,3,Idosos - Alta Renda
Male,Single,35,High school,106919,Skilled employee/Official,Mid-sized city,1,Adultos - Renda Média
Male,Single,41,High school,131020,Skilled employee/Official,Big city,1,Adultos - Renda Média
Male,Single,29,Other/Unknown,119429,Skilled employee/Official,Mid-sized city,0,Adultos - Alta Renda
Male,Single,36,High school,154521,Skilled employee/Official,Mid-sized city,0,Adultos - Alta Renda
Male,Single,64,University,117842,Unemployed/Unskilled,Small city,3,Idosos - Alta Renda
Female,Non-single,28,High school,124566,Skilled employee/Official,Big city,0,Adultos - Alta Renda
Male,Single,44,High school,110009,Skilled employee/Official,Big city,1,Adultos - Renda Média
Male,Single,23,Other/Unknown,101210,Skilled employee/Official,Mid-sized city,4,Jovens - Baixa Renda
Female,Non-single,19,High school,101258,Skilled employee/Official,Small city,4,Jovens - Baixa Renda
Female,Non-single,25,High school,79045,Unemployed/Unskilled,Small city,4,Jovens - Baixa Renda
Male,Single,47,High school,110866,Skilled employee/Official,Small city,1,Adultos - Renda Média
Female,Non-single,28,High school,129640,Skilled employee/Official,Big city,0,Adultos - Alta Renda
Male,Single,21,Other/Unknown,227021,Skilled employee/Official,Mid-sized city,2,Adultos - Alta Renda
Female,Non-single,34,High school,108549,Skilled employee/Official,Mid-sized city,1,Adultos - Renda Média
Male,Single,26,Other/Unknown,122693,Skilled employee/Official,Small city,0,Adultos - Alta Renda
Female,Non-single,27,High school,35832,Unemployed/Unskilled,Small city,4,Jovens - Baixa Renda
Male,Single,38,High school,81870,Unemployed/Unskilled,Small city,1,Adultos - Renda Média
Male,Single,40,High school,179790,Management/Highly qualified,Big city,0,Adultos - Alta Renda
Male,Non-single,33,High school,107158,Skilled employee/Official,Mid-sized city,4,Jovens - Baixa Renda
Male,Non-single,32,High school,136638,Management/Highly qualified,Mid-sized city,0,Adultos - Alta Renda
Male,Single,27,Other/Unknown,158147,Skilled employee/Official,Big city,0,Adultos - Alta Renda
Male,Non-single,32,High school,132587,Skilled employee/Official,Big city,0,Adultos - Alta Renda
Female,Non-single,26,High school,128140,Skilled employee/Official,Big city,0,Adultos - Alta Renda
Male,Single,38,High school,117405,Skilled employee/Official,Mid-sized city,1,Adultos - Renda Média
Male,Single,40,High school,68475,Unemployed/Unskilled,Small city,1,Adultos - Renda Média
Male,Single,50,High school,201656,Management/Highly qualified,Big city,2,Adultos - Alta Renda
Male,Single,37,High school,86967,Unemployed/Unskilled,Small city,1,Adultos - Renda Média
Male,Single,45,High school,118006,Skilled employee/Official,Mid-sized city,1,Adultos - Renda Média
Male,Single,42,High school,223630,Management/Highly qualified,Big city,2,Adultos - Alta Renda
Male,Single,35,High school,110442,Skilled employee/Official,Small city,1,Adultos - Renda Média
Male,Single,22,Other/Unknown,115691,Skilled employee/Official,Big city,4,Jovens - Baixa Renda
Male,Single,41,High school,80232,Unemployed/Unskilled,Small city,1,Adultos - Renda Média
Male,Single,37,High school,187647,Skilled employee/Official,Mid-sized city,2,Adultos - Alta Renda
Female,Non-single,28,High school,138952,Skilled employee/Official,Mid-sized city,0,Adultos - Alta Renda
Male,Single,41,High school,162772,Skilled employee/Official,Big city,0,Adultos - Alta Renda
Male,Non-single,23,High school,111862,Skilled employee/Official,Mid-sized city,4,Jovens - Baixa Renda
Male,Non-single,23,High school,90051,Skilled employee/Official,Mid-sized city,4,Jovens - Baixa Renda
Male,Single,50,High school,121400,Skilled employee/Official,Mid-sized city,1,Adultos - Renda Média
Male,Single,35,High school,137000,Management/Highly qualified,Big city,0,Adultos - Alta Renda
Female,Non-single,50,University,105031,Unemployed/Unskilled,Small city,1,Adultos - Renda Média
Male,Single,27,Other/Unknown,172153,Management/Highly qualified,Big city,0,Adultos - Alta Renda
Male,Single,34,High school,170184,Skilled employee/Official,Mid-sized city,0,Adultos - Alta Renda
Female,Non-single,27,High school,123279,Skilled employee/Official,Mid-sized city,0,Adultos - Alta Renda
Male,Single,43,High school,140795,Skilled employee/Official,Small city,0,Adultos - Alta Renda
Male,Single,47,High school,144456,Skilled employee/Official,Small city,3,Idosos - Alta Renda
Male,Single,27,Other/Unknown,104773,Unemployed/Unskilled,Small city,4,Jovens - Baixa Renda
Male,Single,31,Other/Unknown,153353,Skilled employee/Official,Mid-sized city,0,Adultos - Alta Renda
Male,Single,42,High school,223018,Management/Highly qualified,Mid-sized city,2,Adultos - Alta Renda
Male,Non-single,24,High school,129177,Skilled employee/Official,Big city,0,Adultos - Alta Renda
Male,Single,41,High school,114475,Unemployed/Unskilled,Mid-sized city,1,Adultos - Renda Média
Female,Non-single,26,High school,161323,Management/Highly qualified,Mid-sized city,0,Adultos - Alta Renda
Male,Single,33,High school,135765,Skilled employee/Official,Big city,0,Adultos - Alta Renda
Male,Non-single,24,High school,158421,Skilled employee/Official,Small city,0,Adultos - Alta Renda
Male,Single,64,University,103941,Unemployed/Unskilled,Small city,3,Idosos - Alta Renda
Female,Non-single,26,High school,101783,Skilled employee/Official,Big city,4,Jovens - Baixa Renda
Female,Non-single,56,University,126531,Skilled employee/Official,Mid-sized city,3,Idosos - Alta Renda
Male,Single,37,High school,111394,Skilled employee/Official,Mid-sized city,1,Adultos - Renda Média
Male,Non-single,33,High school,103577,Skilled employee/Official,Big city,4,Jovens - Baixa Renda
Male,Non-single,47,University,149545,Skilled employee/Official,Mid-sized city,3,Idosos - Alta Renda
Male,Single,31,Other/Unknown,171857,Unemployed/Unskilled,Small city,0,Adultos - Alta Renda
Male,Single,34,High school,149782,Skilled employee/Official,Mid-sized city,0,Adultos - Alta Renda
Male,Single,27,Other/Unknown,112470,Skilled employee/Official,Mid-sized city,4,Jovens - Baixa Renda
Male,Single,30,Other/Unknown,133907,Skilled employee/Official,Big city,0,Adultos - Alta Renda
Male,Single,35,High school,127849,Skilled employee/Official,Mid-sized city,0,Adultos - Alta Renda
Male,Single,31,Other/Unknown,160279,Skilled employee/Official,Big city,0,Adultos - Alta Renda
Male,Non-single,25,High school,92366,Skilled employee/Official,Big city,4,Jovens - Baixa Renda
Female,Non-single,25,High school,104794,Unemployed/Unskilled,Small city,4,Jovens - Baixa Renda
Male,Single,29,Other/Unknown,133436,Skilled employee/Official,Mid-sized city,0,Adultos - Alta Renda
Male,Single,44,High school,110374,Unemployed/Unskilled,Small city,1,Adultos - Renda Média
Male,Single,28,Other/Unknown,104263,Skilled employee/Official,Mid-sized city,4,Jovens - Baixa Renda
Male,Single,50,High school,138752,Skilled employee/Official,Small city,3,Idosos - Alta Renda
Male,Single,29,Other/Unknown,102723,Skilled employee/Official,Small city,4,Jovens - Baixa Renda
Female,Non-single,38,High school,46297,Unemployed/Unskilled,Small city,1,Adultos - Renda Média
Male,Single,24,Other/Unknown,96425,Skilled employee/Official,Mid-sized city,4,Jovens - Baixa Renda
Male,Single,40,High school,158197,Management/Highly qualified,Mid-sized city,0,Adultos - Alta Renda
Female,Non-single,29,High school,98008,Unemployed/Unskilled,Small city,4,Jovens - Baixa Renda
Male,Single,46,High school,157473,Skilled employee/Official,Small city,3,Idosos - Alta Renda
Female,Non-single,47,University,149306,Skilled employee/Official,Small city,3,Idosos - Alta Renda
Male,Single,41,High school,139236,Skilled employee/Official,Mid-sized city,0,Adultos - Alta Renda
Female,Non-single,32,High school,125890,Skilled employee/Official,Big city,0,Adultos - Alta Renda
Female,Non-single,35,High school,173124,Skilled employee/Official,Mid-sized city,0,Adultos - Alta Renda
Male,Single,24,Other/Unknown,164621,Skilled employee/Official,Mid-sized city,0,Adultos - Alta Renda
Female,Non-single,25,High school,124539,Skilled employee/Official,Mid-sized city,0,Adultos - Alta Renda
Female,Non-single,25,High school,107614,Skilled employee/Official,Mid-sized city,4,Jovens - Baixa Renda
Male,Single,37,High school,88849,Unemployed/Unskilled,Small city,1,Adultos - Renda Média
Male,Single,32,Other/Unknown,148566,Management/Highly qualified,Big city,0,Adultos - Alta Renda
Female,Non-single,35,High school,106515,Skilled employee/Official,Big city,1,Adultos - Renda Média
Male,Single,46,High school,150465,Management/Highly qualified,Mid-sized city,3,Idosos - Alta Renda
Male,Single,25,Other/Unknown,60868,Unemployed/Unskilled,Small city,4,Jovens - Baixa Renda
Male,Single,27,Other/Unknown,255198,Management/Highly qualified,Big city,2,Adultos - Alta Renda
Male,Single,63,University,183178,Skilled employee/Official,Mid-sized city,3,Idosos - Alta Renda
Male,Single,40,High school,121448,Skilled employee/Official,Big city,1,Adultos - Renda Média
Male,Single,32,Other/Unknown,129975,Management/Highly qualified,Big city,0,Adultos - Alta Renda
Male,Single,31,Other/Unknown,132950,Skilled employee/Official,Big city,0,Adultos - Alta Renda
Male,Non-single,31,High school,169314,Skilled employee/Official,Mid-sized city,0,Adultos - Alta Renda
Male,Single,34,High school,147958,Management/Highly qualified,Mid-sized city,0,Adultos - Alta Renda
Female,Non-single,24,High school,139896,Skilled employee/Official,Big city,0,Adultos - Alta Renda
Female,Non-single,24,High school,68028,Unemployed/Unskilled,Small city,4,Jovens - Baixa Renda
Female,Non-single,66,Graduate school,133328,Unemployed/Unskilled,Small city,3,Idosos - Alta Renda
Female,Non-single,21,High school,108518,Skilled employee/Official,Big city,4,Jovens - Baixa Renda
Female,Non-single,41,University,112700,Unemployed/Unskilled,Small city,1,Adultos - Renda Média
Male,Non-single,47,University,110190,Unemployed/Unskilled,Small city,1,Adultos - Renda Média
Female,Non-single,25,High school,105104,Skilled employee/Official,Mid-sized city,4,Jovens - Baixa Renda
Female,Non-single,59,University,184753,Skilled employee/Official,Mid-sized city,3,Idosos - Alta Renda
Male,Non-single,36,High school,162521,Skilled employee/Official,Big city,0,Adultos - Alta Renda
Male,Single,33,High school,156794,Skilled employee/Official,Mid-sized city,0,Adultos - Alta Renda
Male,Single,21,Other/Unknown,65827,Unemployed/Unskilled,Small city,4,Jovens - Baixa Renda
Female,Non-single,44,University,88490,Unemployed/Unskilled,Small city,1,Adultos - Renda Média
Female,Non-single,28,High school,154919,Skilled employee/Official,Big city,0,Adultos - Alta Renda
Female,Non-single,37,High school,129058,Skilled employee/Official,Small city,0,Adultos - Alta Renda
Female,Non-single,29,High school,77532,Unemployed/Unskilled,Small city,4,Jovens - Baixa Renda
Female,Non-single,23,High school,235417,Management/Highly qualified,Big city,2,Adultos - Alta Renda
Male,Single,35,High school,113468,Unemployed/Unskilled,Small city,1,Adultos - Renda Média
Male,Single,45,High school,190803,Management/Highly qualified,Big city,2,Adultos - Alta Renda
Female,Non-single,26,High school,121423,Unemployed/Unskilled,Small city,4,Jovens - Baixa Renda
Male,Single,32,Other/Unknown,121347,Skilled employee/Official,Mid-sized city,0,Adultos - Alta Renda
Male,Single,23,Other/Unknown,67408,Unemployed/Unskilled,Small city,4,Jovens - Baixa Renda
Male,Single,41,High school,123043,Skilled employee/Official,Mid-sized city,1,Adultos - Renda Média
Male,Single,22,Other/Unknown,128387,Skilled employee/Official,Big city,0,Adultos - Alta Renda
Male,Single,30,Other/Unknown,250050,Management/Highly qualified,Mid-sized city,2,Adultos - Alta Renda
Male,Single,28,Other/Unknown,69588,Unemployed/Unskilled,Small city,4,Jovens - Baixa Renda
Female,Non-single,23,High school,109547,Skilled employee/Official,Mid-sized city,4,Jovens - Baixa Renda
Female,Non-single,37,High school,78840,Unemployed/Unskilled,Small city,1,Adultos - Renda Média
Male,Single,26,Other/Unknown,131122,Skilled employee/Official,Small city,0,Adultos - Alta Renda
Male,Single,33,High school,115403,Skilled employee/Official,Mid-sized city,0,Adultos - Alta Renda
Female,Non-single,49,University,110291,Skilled employee/Official,Big city,1,Adultos - Renda Média
Female,Non-single,23,High school,64811,Unemployed/Unskilled,Small city,4,Jovens - Baixa Renda
Female,Non-single,23,High school,86015,Unemployed/Unskilled,Small city,4,Jovens - Baixa Renda
Female,Non-single,25,High school,142438,Skilled employee/Official,Big city,0,Adultos - Alta Renda
Male,Single,55,High school,159303,Skilled employee/Official,Mid-sized city,3,Idosos - Alta Renda
Female,Non-single,32,High school,104957,Skilled employee/Official,Mid-sized city,4,Jovens - Baixa Renda
Male,Single,74,University,89502,Unemployed/Unskilled,Small city,3,Idosos - Alta Renda
Male,Single,39,High school,121313,Skilled employee/Official,Mid-sized city,1,Adultos - Renda Média
Male,Single,31,Other/Unknown,98102,Skilled employee/Official,Small city,4,Jovens - Baixa Renda
Male,Single,35,High school,94554,Skilled employee/Official,Mid-sized city,1,Adultos - Renda Média
Female,Non-single,59,University,162591,Skilled employee/Official,Mid-sized city,3,Idosos - Alta Renda
Female,Non-single,24,High school,106629,Skilled employee/Official,Big city,4,Jovens - Baixa Renda
Male,Single,24,Other/Unknown,70400,Unemployed/Unskilled,Small city,4,Jovens - Baixa Renda
Male,Single,30,Other/Unknown,235660,Management/Highly qualified,Big city,2,Adultos - Alta Renda
Male,Non-single,27,High school,121747,Skilled employee/Official,Big city,0,Adultos - Alta Renda
Male,Non-single,40,High school,85060,Unemployed/Unskilled,Small city,1,Adultos - Renda Média
Male,Non-single,31,High school,87630,Unemployed/Unskilled,Small city,4,Jovens - Baixa Renda
Female,Non-single,31,High school,119673,Skilled employee/Official,Small city,0,Adultos - Alta Renda
Male,Single,28,Other/Unknown,126060,Skilled employee/Official,Big city,0,Adultos - Alta Renda
Male,Single,63,University,96145,Unemployed/Unskilled,Small city,3,Idosos - Alta Renda
Female,Non-single,26,High school,114830,Skilled employee/Official,Small city,4,Jovens - Baixa Renda
Female,Non-single,25,High school,194461,Management/Highly qualified,Big city,0,Adultos - Alta Renda
Male,Single,36,High school,150158,Management/Highly qualified,Big city,0,Adultos - Alta Renda
Male,Single,52,High school,136323,Skilled employee/Official,Big city,3,Idosos - Alta Renda
Male,Single,66,University,111858,Unemployed/Unskilled,Small city,3,Idosos - Alta Renda
Female,Non-single,25,High school,100198,Skilled employee/Official,Small city,4,Jovens - Baixa Renda
Male,Single,37,High school,123452,Skilled employee/Official,Big city,0,Adultos - Alta Renda
Female,Non-single,25,High school,120723,Skilled employee/Official,Mid-sized city,4,Jovens - Baixa Renda
Male,Single,38,High school,215639,Management/Highly qualified,Mid-sized city,2,Adultos - Alta Renda
Female,Non-single,67,Graduate school,166712,Skilled employee/Official,Mid-sized city,3,Idosos - Alta Renda
Male,Single,25,Other/Unknown,136300,Skilled employee/Official,Mid-sized city,0,Adultos - Alta Renda
Male,Single,60,University,166988,Skilled employee/Official,Big city,3,Idosos - Alta Renda
Male,Single,31,Other/Unknown,77265,Unemployed/Unskilled,Small city,4,Jovens - Baixa Renda
Female,Non-single,23,High school,85967,Unemployed/Unskilled,Small city,4,Jovens - Baixa Renda
Male,Non-single,60,University,212020,Management/Highly qualified,Small city,2,Adultos - Alta Renda
Male,Single,35,High school,126054,Unemployed/Unskilled,Small city,0,Adultos - Alta Renda
Male,Single,40,High school,144589,Skilled employee/Official,Small city,0,Adultos - Alta Renda
Male,Single,38,High school,116723,Skilled employee/Official,Mid-sized city,1,Adultos - Renda Média
Male,Single,50,High school,168637,Skilled employee/Official,Mid-sized city,3,Idosos - Alta Renda
Male,Single,27,Other/Unknown,139119,Skilled employee/Official,Mid-sized city,0,Adultos - Alta Renda
Female,Non-single,39,University,118610,Skilled employee/Official,Big city,1,Adultos - Renda Média
Male,Single,41,High school,183312,Management/Highly qualified,Big city,2,Adultos - Alta Renda
Male,Non-single,27,High school,96323,Skilled employee/Official,Small city,4,Jovens - Baixa Renda
Male,Non-single,51,University,149510,Skilled employee/Official,Big city,3,Idosos - Alta Renda
